Stove type: M422,,Latitude of the PUMA device location,[64.87386],Longitude of the PUMA device location,[-147.813],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543766153.0,-1,-1,0,0.0,0.0,74.21,16.56,57.65
1543766453.0,-1,-1,0,0.0,0.0,74.65,16.49,58.16
1543766753.0,-1,-1,0,0.0,0.0,74.42,16.34,58.08
1543767053.0,-1,-1,0,0.0,0.0,75.96,16.19,59.77
1543767353.0,-1,-1,0,0.0,0.0,77.04,16.04,61.0
1543767653.0,-1,-1,0,0.0,0.0,75.96,15.89,60.07
1543767707.0,4,435706,16072,0.06999356,4.666237333333333,77.04,15.87,61.17
1543768063.0,-1,-1,0,0.0,0.0,71.06,15.69,55.37
1543768364.0,-1,-1,0,0.0,0.0,73.98,15.54,58.44
1543768664.0,-1,-1,0,0.0,0.0,73.76,15.39,58.37
1543768869.0,2,435706,0,0.0,0.0,74.65,15.29,59.36
1543769199.0,3,438719,3013,0.013121615,0.1431448909090909,73.98,15.12,58.86
1543769556.0,-1,-1,0,0.0,0.0,77.04,14.94,62.1
1543769856.0,-1,-1,0,0.0,0.0,74.87,14.79,60.08
1543770156.0,-1,-1,0,0.0,0.0,75.96,14.77,61.19
1543770456.0,-1,-1,0,0.0,0.0,76.4,14.88,61.52
1543770756.0,-1,-1,0,0.0,0.0,77.69,14.98,62.71
1543771056.0,-1,-1,0,0.0,0.0,76.61,15.09,61.52
1543771357.0,-1,-1,0,0.0,0.0,77.04,15.19,61.85
1543771657.0,-1,-1,0,0.0,0.0,75.74,15.3,60.44
1543771957.0,-1,-1,0,0.0,0.0,73.32,15.4,57.92
1543772257.0,-1,-1,0,0.0,0.0,75.96,15.51,60.45
1543772557.0,-1,-1,0,0.0,0.0,77.9,15.61,62.29
1543772721.0,4,464624,25905,0.112816275,2.476454817073171,77.04,15.67,61.37
1543773076.0,-1,-1,0,0.0,0.0,71.29,15.8,55.49
1543773376.0,-1,-1,0,0.0,0.0,74.65,15.9,58.75
1543773677.0,-1,-1,0,0.0,0.0,71.74,16.0,55.74
1543773977.0,-1,-1,0,0.0,0.0,70.37,16.07,54.3
1543774276.0,2,464627,3,1.3065e-05,0.00015730434782608695,70.6,16.15,54.45
1543774632.0,-1,-1,0,0.0,0.0,77.26,16.24,61.02
1543774695.0,4,468459,3832,0.01668836,0.9536205714285714,74.42,16.25,58.17
1543774752.0,3,468875,416,0.00181168,0.1144218947368421,69.91,16.27,53.64
1543775110.0,-1,-1,0,0.0,0.0,72.42,16.36,56.06
