Stove type: Laser 530,,Latitude of the PUMA device location,[64.91823],Longitude of the PUMA device location,[-147.868],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1548322439.0,-1,-1,0,0.0,0.0,74.21,5.6,68.61
1548322739.0,-1,-1,0,0.0,0.0,74.42,5.45,68.97
1548323039.0,-1,-1,0,0.0,0.0,73.76,5.3,68.46
1548323339.0,-1,-1,0,0.0,0.0,74.87,5.15,69.72
1548323640.0,-1,-1,0,0.0,0.0,72.19,5.0,67.19
1548323940.0,-1,-1,0,0.0,0.0,70.37,4.85,65.52
1548324240.0,-1,-1,0,0.0,0.0,73.98,4.86,69.12
1548324540.0,-1,-1,0,0.0,0.0,74.42,4.9,69.52
1548324840.0,-1,-1,0,0.0,0.0,73.76,4.95,68.81
1548325140.0,-1,-1,0,0.0,0.0,73.98,4.99,68.99
1548325440.0,-1,-1,0,0.0,0.0,69.91,5.04,64.87
1548325740.0,-1,-1,0,0.0,0.0,73.32,5.08,68.24
1548326040.0,-1,-1,0,0.0,0.0,73.54,5.13,68.41
1548326340.0,-1,-1,0,0.0,0.0,71.52,5.17,66.35
1548326641.0,-1,-1,0,0.0,0.0,71.29,5.22,66.07
1548326941.0,-1,-1,0,0.0,0.0,74.21,5.26,68.95
1548327241.0,-1,-1,0,0.0,0.0,71.97,5.31,66.66
1548327541.0,-1,-1,0,0.0,0.0,74.42,5.35,69.07
1548327841.0,-1,-1,0,0.0,0.0,74.21,5.43,68.78
1548328141.0,-1,-1,0,0.0,0.0,74.21,5.52,68.69
1548328441.0,-1,-1,0,0.0,0.0,74.42,5.61,68.81
1548328741.0,-1,-1,0,0.0,0.0,72.65,5.7,66.95
1548329041.0,-1,-1,0,0.0,0.0,74.21,5.79,68.42
1548329342.0,-1,-1,0,0.0,0.0,74.65,5.88,68.77
1548329642.0,-1,-1,0,0.0,0.0,74.65,5.97,68.68
1548329942.0,-1,-1,0,0.0,0.0,72.87,6.06,66.81
1548330242.0,-1,-1,0,0.0,0.0,73.76,6.15,67.61
1548330542.0,-1,-1,0,0.0,0.0,73.54,6.24,67.3
1548330842.0,-1,-1,0,0.0,0.0,73.09,6.33,66.76
1548331142.0,-1,-1,0,0.0,0.0,73.54,6.42,67.12
1548331443.0,-1,-1,0,0.0,0.0,73.76,6.38,67.38
1548331743.0,-1,-1,0,0.0,0.0,73.76,6.3,67.46
1548332043.0,-1,-1,0,0.0,0.0,73.76,6.23,67.53
1548332343.0,-1,-1,0,0.0,0.0,73.54,6.15,67.39
1548332643.0,-1,-1,0,0.0,0.0,74.42,6.08,68.34
1548332943.0,-1,-1,0,0.0,0.0,74.65,6.0,68.65
1548333244.0,-1,-1,0,0.0,0.0,74.42,5.93,68.49
1548333497.0,4,18111683,0,0.0,0.0,74.87,5.87,69.0
1548333823.0,-1,-1,0,0.0,0.0,66.85,5.78,61.07
1548334124.0,-1,-1,0,0.0,0.0,65.16,5.71,59.45
1548334424.0,-1,-1,0,0.0,0.0,64.67,5.63,59.04
1548334725.0,-1,-1,0,0.0,0.0,64.43,5.56,58.87
1548335025.0,-1,-1,0,0.0,0.0,63.93,5.47,58.46
1548335326.0,-1,-1,0,0.0,0.0,63.93,5.38,58.55
1548335496.0,1,18111683,0,0.0,0.0,63.69,5.33,58.36
1548335822.0,-1,-1,0,0.0,0.0,68.51,5.23,63.28
1548335847.0,2,18114591,0,0.0,0.0,68.98,5.23,63.75
1548336173.0,-1,-1,0,0.0,0.0,71.52,5.13,66.39
1548336473.0,-1,-1,0,0.0,0.0,71.52,5.04,66.48
1548336773.0,-1,-1,0,0.0,0.0,71.97,4.95,67.02
1548337073.0,-1,-1,0,0.0,0.0,72.42,4.86,67.56
1548337373.0,-1,-1,0,0.0,0.0,72.87,4.77,68.1
1548337674.0,-1,-1,0,0.0,0.0,72.87,4.68,68.19
1548337974.0,-1,-1,0,0.0,0.0,73.32,4.59,68.73
1548338274.0,-1,-1,0,0.0,0.0,74.42,4.5,69.92
1548338574.0,-1,-1,0,0.0,0.0,74.65,4.37,70.28
1548338874.0,-1,-1,0,0.0,0.0,74.42,4.22,70.2
1548339174.0,-1,-1,0,0.0,0.0,74.65,4.07,70.58
1548339474.0,-1,-1,0,0.0,0.0,74.65,3.92,70.73
1548339774.0,-1,-1,0,0.0,0.0,75.08,3.77,71.31
1548340074.0,-1,-1,0,0.0,0.0,75.3,3.62,71.68
1548340375.0,-1,-1,0,0.0,0.0,75.52,3.47,72.05
1548340675.0,-1,-1,0,0.0,0.0,75.08,3.32,71.76
